date;price
01/02/2012;60.756
02/02/2012;06.01
03/02/2012;59.593
04/02/2012;58.734
05/02/2012;56.888
06/02/2012;54.535
07/02/2012;0,25625
08/02/2012;05.06
09/02/2012;0,265972222
10/02/2012;59.126
11/02/2012;56.005
12/02/2012;55.147
13/02/2012;05.26
14/02/2012;44.629
15/02/2012;43.251
16/02/2012;42.739
17/02/2012;04.41
18/02/2012;4.222
19/02/2012;43.867
20/02/2012;43.615
21/02/2012;4.272
22/02/2012;44.247
23/02/2012;5.015
24/02/2012;50.288
25/02/2012;4.773
26/02/2012;4.922
27/02/2012;4.956
28/02/2012;4.868
29/02/2012;0,226388889
01/03/2012;49.213
02/03/2012;4.705
03/03/2012;46.144
04/03/2012;0,223611111
05/03/2012;49.843
06/03/2012;49.901
07/03/2012;49.375
08/03/2012;49.302
09/03/2012;48.611
10/03/2012;48.332
11/03/2012;0,229861111
12/03/2012;48.901
13/03/2012;05.27
14/03/2012;05.38
15/03/2012;53.266
16/03/2012;53.439
17/03/2012;52.159
18/03/2012;52.794
19/03/2012;46.939
20/03/2012;48.379
21/03/2012;48.149
22/03/2012;47.043
23/03/2012;4.686
24/03/2012;4.676
25/03/2012;04.55
26/03/2012;46.191
27/03/2012;48.113
28/03/2012;4.788
29/03/2012;48.084
30/03/2012;0,226388889
31/03/2012;49.087
01/04/2012;4.827
02/04/2012;4.974
03/04/2012;4.952
04/04/2012;49.101
05/04/2012;4.919
06/04/2012;49.499
07/04/2012;46.872
08/04/2012;47.925
09/04/2012;48.719
10/04/2012;48.367
11/04/2012;49.279
12/04/2012;49.197
13/04/2012;0,231944444
14/04/2012;49.597
15/04/2012;49.689
16/04/2012;4.932
17/04/2012;49.759
18/04/2012;51.178
19/04/2012;51.377
20/04/2012;05.35
21/04/2012;52.601
22/04/2012;52.035
23/04/2012;0,233333333
24/04/2012;50.982
25/04/2012;51.318
26/04/2012;50.976
27/04/2012;51.095
28/04/2012;49.794
29/04/2012;49.044
30/04/2012;49.491
01/05/2012;05.00
02/05/2012;50.737
03/05/2012;51.344
04/05/2012;5.067
05/05/2012;5.077
06/05/2012;50.499
07/05/2012;05.06
08/05/2012;05.05
09/05/2012;50.437
10/05/2012;0,225694444
11/05/2012;0,233333333
12/05/2012;49.462
13/05/2012;0,23125
14/05/2012;50.059
15/05/2012;5.035
16/05/2012;50.887
17/05/2012;50.998
18/05/2012;5.118
19/05/2012;50.995
20/05/2012;05.09
21/05/2012;50.998
22/05/2012;50.988
23/05/2012;51.397
24/05/2012;5.119
25/05/2012;51.455
26/05/2012;51.032
27/05/2012;5.139
28/05/2012;51.358
29/05/2012;05.15
30/05/2012;5.135
31/05/2012;51.801
01/06/2012;52.748
02/06/2012;5.249
03/06/2012;52.051
04/06/2012;5.266
05/06/2012;05.44
06/06/2012;05.46
07/06/2012;5.591
08/06/2012;5.633
09/06/2012;05.56
10/06/2012;54.683
11/06/2012;55.747
12/06/2012;05.07
13/06/2012;5.929
14/06/2012;59.541
15/06/2012;06.05
16/06/2012;06.04
17/06/2012;61.638
18/06/2012;06.31
19/06/2012;64.988
20/06/2012;0,296527778
21/06/2012;66.801
22/06/2012;65.478
23/06/2012;64.285
24/06/2012;06.35
25/06/2012;63.048
26/06/2012;64.195
27/06/2012;6.647
28/06/2012;66.059
29/06/2012;0,295138889
30/06/2012;0,297916667
01/07/2012;6.629
02/07/2012;0,302777778
03/07/2012;64.499
04/07/2012;65.101
05/07/2012;0,296527778
06/07/2012;66.481
07/07/2012;67.621
08/07/2012;6.799
09/07/2012;70.215
10/07/2012;71.999
11/07/2012;07.15
12/07/2012;77.644
13/07/2012;76.651
14/07/2012;75.421
15/07/2012;7.621
16/07/2012;84.996
17/07/2012;08.08
18/07/2012;91.098
19/07/2012;0,39375
20/07/2012;08.52
21/07/2012;88.455
22/07/2012;84.096
23/07/2012;84.457
24/07/2012;08.06
25/07/2012;08.08
26/07/2012;08.09
27/07/2012;08.09
28/07/2012;88.881
29/07/2012;87.103
30/07/2012;9.098
31/07/2012;09.35
01/08/2012;95.503
02/08/2012;10.53
03/08/2012;0,484027778
04/08/2012;10.984
05/08/2012;0,477083333
06/08/2012;108.552
